location,observed_at_utc,temperature_c,humidity_pct,heat_index_c,wind_speed_kph,condition,risk_category,severity_score_0_100,prediction_methodology,sentiment_adjustment,alert_level,data_mode
"Mumbai, Maharashtra",2026-09-08T09:00:09.673729,30.22,68.6,35.23,19.5,Clear,moderate,57.6,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,2.6,,demo
"Mumbai, Maharashtra",2026-09-08T12:00:09.673729,31.49,72.2,39.7,9.7,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-08T15:00:09.673729,31.34,74.9,40.19,11.2,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-08T18:00:09.673729,30.57,68.6,36.08,9.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-09T06:00:09.673729,27.99,76.6,31.57,9.8,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-09T09:00:09.673729,30.26,73.0,36.47,19.8,Clear,moderate,58.1,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,3.1,,demo
"Mumbai, Maharashtra",2026-09-09T12:00:09.673729,31.82,69.9,39.85,20.4,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-09T15:00:09.673729,31.55,71.7,39.69,16.4,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-09T18:00:09.673729,29.59,77.5,35.81,9.5,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-10T06:00:09.673729,27.92,75.4,31.24,9.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-10T09:00:09.673729,31.11,75.0,39.49,18.6,Clear,moderate,60.7,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,5.7,,demo
"Mumbai, Maharashtra",2026-09-10T12:00:09.673729,31.73,71.1,40.01,8.7,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-10T15:00:09.673729,32.1,68.3,40.07,13.3,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-10T18:00:09.673729,29.25,77.3,34.83,9.0,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-11T06:00:09.673729,29.0,75.1,33.71,20.4,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-11T09:00:09.673729,30.62,72.2,37.23,16.6,Clear,moderate,55.8,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,0.8,,demo
"Mumbai, Maharashtra",2026-09-11T12:00:09.673729,31.66,67.0,38.42,17.2,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-11T15:00:09.673729,31.22,67.0,37.28,12.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-11T18:00:09.673729,29.88,73.4,35.57,11.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-12T06:00:09.673729,28.26,80.3,32.82,11.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-12T09:00:09.673729,30.7,69.0,36.53,13.6,Clear,moderate,60.5,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,5.5,,demo
"Mumbai, Maharashtra",2026-09-12T12:00:09.673729,32.08,66.0,39.22,16.0,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-12T15:00:09.673729,31.53,75.5,40.97,12.2,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-12T18:00:09.673729,29.1,78.9,34.77,21.7,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-13T06:00:09.673729,29.28,73.3,34.03,19.3,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-13T09:00:09.673729,30.69,69.2,36.54,11.4,Clear,moderate,55.0,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,0.0,,demo
"Mumbai, Maharashtra",2026-09-13T12:00:09.673729,31.35,69.2,38.3,21.3,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-13T15:00:09.673729,31.57,76.2,41.36,13.6,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-13T18:00:09.673729,29.8,75.8,35.95,19.0,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-14T06:00:09.673729,27.74,75.5,30.85,21.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-14T09:00:09.673729,30.05,69.7,35.1,11.2,Clear,moderate,62.8,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,7.8,,demo
"Mumbai, Maharashtra",2026-09-14T12:00:09.673729,30.99,68.9,37.25,10.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-14T15:00:09.673729,31.8,72.4,40.7,20.7,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-14T18:00:09.673729,29.82,69.4,34.45,8.7,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-15T06:00:09.673729,28.16,75.1,31.73,18.1,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-15T09:00:09.673729,29.94,78.5,37.07,12.7,Clear,moderate,63.0,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,8.0,,demo
"Mumbai, Maharashtra",2026-09-15T12:00:09.673729,31.08,73.9,39.07,10.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-15T15:00:09.673729,30.87,69.0,36.95,12.0,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-15T18:00:09.673729,29.8,77.8,36.47,12.0,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-16T06:00:09.673729,33.2,69.9,44.05,11.1,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-16T09:00:09.673729,35.01,66.0,48.15,8.6,Clear,high,100.0,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,10.7,high,demo
"Mumbai, Maharashtra",2026-09-16T12:00:09.673729,36.91,61.4,52.03,14.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-16T15:00:09.673729,36.82,65.8,54.53,7.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-16T18:00:09.673729,34.99,66.3,48.25,10.4,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-17T06:00:09.673729,36.01,60.1,48.22,8.5,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-17T09:00:09.673729,38.79,62.5,59.81,16.4,Clear,high,99.7,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,9.7,high,demo
"Mumbai, Maharashtra",2026-09-17T12:00:09.673729,39.74,56.1,58.42,9.5,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-17T15:00:09.673729,38.86,58.7,57.16,10.8,Haze,,,,,,demo
"Mumbai, Maharashtra",2026-09-17T18:00:09.673729,38.17,59.8,55.44,6.4,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-18T06:00:09.673729,37.91,63.1,56.81,13.2,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-18T09:00:09.673729,40.75,53.9,60.41,9.9,Clear,high,96.6,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,6.6,high,demo
"Mumbai, Maharashtra",2026-09-18T12:00:09.673729,41.09,56.0,63.47,17.3,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-18T15:00:09.673729,41.22,58.0,65.9,6.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-18T18:00:09.673729,38.87,61.2,59.11,9.2,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-19T06:00:09.673729,38.57,65.4,61.2,17.7,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-19T09:00:09.673729,39.72,57.0,59.06,12.0,Haze,high,90.0,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,0.0,high,demo
"Mumbai, Maharashtra",2026-09-19T09:42:38.265288,40.09,56.4,60.01,12.0,Haze,high,97.3,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,7.3,,demo
"Mumbai, Maharashtra",2026-09-19T12:00:09.673729,41.04,55.7,63.07,9.9,Haze,,,,,,demo
"Mumbai, Maharashtra",2026-09-19T15:00:09.673729,41.52,52.3,61.89,17.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-19T18:00:09.673729,40.11,62.0,64.86,15.9,Clear,,,,,,demo
